"Qty";"Value";"Device";"Package";"Parts";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"PROD_ID";"VALUE";
"2";"";"IRLS3034-7P";"D2PAK-7";"IRLS3034-7P, IRLS3034-7P.2";"High-current SMD MOSFET";"";"";"";"";"";"";
"9";"";"LED1206";"LED-1206";"D2, D4, D6, D8, D10, D12, D14, D16, LED1";"LEDs";"";"";"";"";"";"";
"1";"";"M16LONGPADS";"1X16_LONGPADS";"JP5";"1x16 .1" header";"";"";"";"";"";"";
"1";"";"POTTRIM";"TRIM_POT";"RV1";"";"";"";"";"";"";"";
"1";"";"SWITCH-SPDTPTH";"SWITCH-SPDT";"S1";"SPDT Switch";"";"";"";"";"";"";
"1";"0.1uF";"C-USC1206";"C1206";"C21";"CAPACITOR, American symbol";"";"";"";"";"";"";
"1";"0.22uF";"C-USC1206";"C1206";"C15";"CAPACITOR, American symbol";"";"";"";"";"";"";
"9";"100R";"R-US_R1206";"R1206";"R1, R5, R9, R13, R17, R21, R25, R29, R37";"RESISTOR, American symbol";"";"";"";"";"";"";
"1";"100kΩ";"R-US_R1206";"R1206";"R43";"RESISTOR, American symbol";"";"";"";"";"";"";
"9";"100nF";"C-USC1206";"C1206";"C1, C2, C3, C4, C5, C6, C7, C8, C13";"CAPACITOR, American symbol";"";"";"";"";"";"";
"8";"10R, 3W, 1%";"RESISTORPTH-1W";"AXIAL-0.6";"R2, R6, R10, R14, R18, R22, R26, R30";"Resistor";"";"";"";"";"";"";
"1";"10k";"R-US_R1206";"R1206";"R57";"RESISTOR, American symbol";"";"";"";"";"";"";
"2";"10k, 1%";"R-US_R1206";"R1206";"R33, R35";"RESISTOR, American symbol";"";"";"";"";"";"";
"5";"10kΩ";"R-US_R1206";"R1206";"R39, R42, R44, R45, R46";"RESISTOR, American symbol";"";"";"";"";"";"";
"2";"10nF";"C-USC1206";"C1206";"C11, C12";"CAPACITOR, American symbol";"";"";"";"";"";"";
"1";"10uF";"C-USC1206";"C1206";"C14";"CAPACITOR, American symbol";"";"";"";"";"";"";
"2";"120 Ohm";"RESISTOR1206";"1206";"R72, R73";"Resistor";"";"";"";"";"";"";
"3";"1M";"R-US_R1206";"R1206";"R69, R70, R71";"RESISTOR, American symbol";"";"";"";"";"";"";
"3";"1k";"R-US_R1206";"R1206";"R34, R36, R68";"RESISTOR, American symbol";"";"";"";"";"";"";
"4";"1uF";"C-USC1206";"C1206";"C9, C10, C16, C22";"CAPACITOR, American symbol";"";"";"";"";"";"";
"20";"200R";"R-US_R1206";"R1206";"R47, R48, R49, R50, R51, R52, R53, R54, R55, R56, R58, R59, R60, R61, R62, R63, R64, R65, R66, R67";"RESISTOR, American symbol";"";"";"";"";"";"";
"2";"22-23-2021";"22-23-2021";"22-23-2021";"THERM_1, THERM_2";".100" (2.54mm) Center Header - 2 Pin";"MOLEX";"22-23-2021";"1462926";"25C3832";"";"";
"4";"22-23-2031";"22-23-2031";"22-23-2031";"X1, X2, X3, X4";".100" (2.54mm) Center Header - 3 Pin";"MOLEX";"22-23-2031";"1462950";"30C0862";"";"";
"2";"22-23-2091";"22-23-2091";"22-23-2091";"CELL-IN, CELL-MEAS";".100" (2.54mm) Center Header - 9 Pin";"MOLEX";"22-23-2091";"1756827";"56H0450";"";"";
"6";"2N7002PW";"MOSFET-NCHANNEL2N7002PW";"SOT323";"Q10, Q11, Q12, Q13, Q14, Q15";"Common NMOSFET Parts";"";"";"";"";"TRANS-11151";"";
"8";"3.3k";"RESISTOR1206";"1206";"R4, R8, R12, R16, R20, R24, R28, R32";"Resistor";"";"";"";"";"";"";
"8";"450R";"RESISTOR1206";"1206";"R3, R7, R11, R15, R19, R23, R27, R31";"Resistor";"";"";"";"";"";"";
"4";"47µF";"C-USC1206";"C1206";"C17, C18, C19, C20";"CAPACITOR, American symbol";"";"";"";"";"";"";
